1495,Iqaluit,Canada,YFB,CYFB,63.756401062,-68.5558013916,55,Iqaluit Airport,,"{'1572': {96: 70, 79: 95}, '1469': {96: 70}, '1546': {96: 79, 79: 79}, '1500': {96: 70, 79: 95}, '1552': {96: 70}, '1562': {96: 79}, '1487': {96: 70, 79: 95}, '1559': {96: 70}, '1529': {96: 79, 79: 79}}"
1497,Flin Flon,Canada,YFO,CYFO,54.6781005859375,-101.681999206543,58,Flin Flon Airport,,"{'1565': {78: 105, 94: 106}, '1533': {78: 70, 94: 106}, '1553': {78: 105}}"
1498,Fort Simpson,Canada,YFS,CYFS,61.7602005004883,-121.236999511719,60,Fort Simpson Airport,,"{'1590': {96: 70, 70: 97}}"
1499,Makkovik,Canada,YMN,CYFT,55.0769004821777,-59.1864013671875,5492,Makkovik Airport,,"{'1465': {92: 97, 69: 97}, '1509': {92: 97}, '1466': {69: 97}}"
1500,Igloolik,Canada,YGT,CYGT,69.3647003174,-81.8161010742,5495,Igloolik Airport,,"{'1495': {96: 70}, '1514': {79: 95}, '1559': {96: 70}}"
1501,Kuujjuarapik,Canada,YGW,CYGW,55.2818984985352,-77.7652969360352,5496,Kuujjuarapik Airport,,{'1470': {67: 95}}
1502,Gillam,Canada,YGX,CYGX,56.3574981689453,-94.7106018066406,5497,Gillam Airport,,"{'1565': {78: 70}, '1553': {78: 70}}"
1503,Grise Fiord,Canada,YGZ,CYGZ,76.4261016846,-82.9092025757,5498,Grise Fiord Airport,,{'1544': {90: 97}}
1504,Dryden,Canada,YHD,CYHD,49.8316993713379,-92.7442016601563,67,Dryden Regional Airport,,"{'1536': {94: 106}, '1545': {94: 106}, '1570': {94: 106}}"
1505,Nemiscau,Canada,YNS,CYHH,51.6911010742188,-76.1355972290039,5501,Nemiscau Airport,,"{'1519': {67: 95}, '1524': {67: 95}}"
1506,Holman Island,Canada,YHI,CYHI,70.7628021240234,-117.805999755859,68,Ulukhaktok Holman Airport,,{'1485': {96: 72}}
1507,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277,69,Gjoa Haven Airport,,"{'1583': {96: 72, 79: 95}, '1482': {96: 72}, '1590': {96: 72, 79: 95}}"
1508,Hamilton,Canada,YHM,CYHM,43.1735992432,-79.9349975586,70,John C. Munro Hamilton International Airport,,"{'1491': {106: 79}, '1537': {106: 79}, '1512': {106: 79}, '1579': {106: 79}}"
1509,Hopedale,Canada,YHO,CYHO,55.448299407959,-60.2285995483399,5502,Hopedale Airport,,"{'1465': {69: 97}, '1499': {92: 97}}"
1510,Chevery,Canada,YHR,CYHR,50.4688987731934,-59.6366996765137,5503,Chevery Airport,,{'1471': {69: 97}}
1511,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,72,Hay River / Merlyn Carter Airport,,{'1590': {96: 70}}
1512,Halifax,Canada,YHZ,CYHZ,44.8807983398,-63.5085983276,73,Halifax / Stanfield International Airport,,"{'1557': {66: 65, 95: 96}, '1589': {66: 65, 106: 79}, '1508': {106: 79}, '1770': {106: 79, 71: 63}, '1529': {66: 101, 106: 79, 95: 96}, '1587': {66: 101, 106: 79, 95: 96}, '1579': {106: 79}, '1484': {92: 113}}"
1513,St-Augustin,Canada,YIF,CYIF,51.2117004395,-58.6582984924,6789,St Augustin Airport,,{'1473': {69: 97}}
1514,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929,75,Pond Inlet Airport,,"{'1500': {79: 95}, '1487': {96: 70, 79: 95}}"
1515,Stephenville,Canada,YJT,CYJT,48.5442008972168,-58.5499992370606,77,Stephenville Airport,,{'1587': {92: 113}}
1516,Kamloops,Canada,YKA,CYKA,50.7022018433,-120.444000244,78,Kamloops Airport,,{'1579': {106: 96}}
1517,Waterloo,Canada,YKF,CYKF,43.4608001709,-80.3786010742,79,Waterloo Airport,,"{'1806': {103: 102}, '1579': {106: 79}}"
1518,Schefferville,Canada,YKL,CYKL,54.8053016662598,-66.8052978515625,80,Schefferville Airport,,{'1566': {92: 113}}
1519,Waskaganish,Canada,YKQ,CYKQ,51.4733009338379,-78.75830078125,5507,Waskaganish Airport,,"{'1593': {67: 95}, '1470': {67: 95}, '1561': {67: 95}, '1524': {67: 95}, '1505': {67: 95}}"
1521,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352,87,Kelowna International Airport,,"{'1491': {106: 79}, '1589': {106: 79}, '1564': {106: 79}, '1579': {106: 78}, '1584': {106: 96}}"
1522,Fort Mcmurray,Canada,YMM,CYMM,56.653301239,-111.222000122,90,Fort McMurray Airport,,"{'1589': {66: 101, 106: 79}, '1491': {106: 79}, '1579': {106: 79}}"
1523,Moosonee,Canada,YMO,CYMO,51.2910995483398,-80.6078033447266,91,Moosonee Airport,,{'1494': {67: 94}}
1524,Chibougamau,Canada,YMT,CYMT,49.771900177002,-74.5280990600586,5514,Chapais Airport,,"{'1557': {67: 95}, '1519': {67: 95}, '1505': {67: 95}}"
1525,Natashquan,Canada,YNA,CYNA,50.189998626709,-61.7891998291016,94,Natashquan Airport,,{'1472': {69: 97}}
1526,Wemindji,Canada,YNC,CYNC,53.0106010437012,-78.8311004638672,5516,Wemindji Airport,,"{'1593': {67: 95}, '1470': {67: 95}}"
1529,Ottawa,Canada,YOW,CYOW,45.3224983215332,-75.6691970825195,100,Ottawa Macdonald-Cartier International Airport,,"{'1495': {96: 79, 79: 79}, '1557': {66: 101}, '1589': {66: 101, 106: 78}, '1512': {66: 101, 106: 79, 95: 96}, '1564': {66: 65}, '1491': {66: 101, 106: 79}, '1587': {106: 79}, '1537': {95: 96}, '1555': {95: 96}, '1565': {106: 79}, '1579': {66: 101, 106: 79}}"
1531,Peawanuck,Canada,YPO,CYPO,54.9880981445313,-85.4432983398437,5522,Peawanuck Airport,,{'1476': {67: 94}}
1532,Quebec,Canada,YQB,CYQB,46.7911,-71.393303,111,Quebec Jean Lesage International Airport,,"{'1557': {92: 94, 71: 63}, '1555': {95: 96}, '1592': {92: 94}, '1589': {106: 79, 71: 67}}"
1533,The Pas,Canada,YQD,CYQD,53.9714012145996,-101.091003417969,5524,The Pas Airport,,"{'1497': {78: 70, 94: 106}, '1565': {78: 70, 94: 106}, '1553': {78: 105}}"
1535,Windsor,Canada,YQG,CYQG,42.2756004333496,-82.9555969238281,113,Windsor Airport,,"{'1589': {66: 64}, '1555': {95: 96}, '1579': {106: 79}}"
1536,Kenora,Canada,YQK,CYQK,49.7882995605469,-94.3630981445313,115,Kenora Airport,,"{'1565': {94: 106}, '1474': {94: 106}, '1504': {94: 106}}"
1537,Moncton,Canada,YQM,CYQM,46.1122016906738,-64.678596496582,117,Greater Moncton International Airport,,"{'1589': {106: 79}, '1770': {106: 79}, '1508': {106: 79}, '1529': {95: 96}}"
1538,Comox,Canada,YQQ,CYQQ,49.7108001708984,-124.887001037598,119,Comox Airport,,"{'1491': {106: 79}, '1579': {106: 79}}"
1539,Regina,Canada,YQR,CYQR,50.4319000244141,-104.666000366211,120,Regina International Airport,,"{'1589': {66: 101, 106: 79}, '1746': {106: 79}, '1565': {106: 96}, '1564': {106: 79}, '1491': {106: 96}, '1579': {106: 96}}"
1540,Thunder Bay,Canada,YQT,CYQT,48.3718986511231,-89.3238983154297,121,Thunder Bay Airport,,"{'1475': {94: 106}, '1589': {106: 79}, '1565': {106: 79}, '1547': {94: 106}, '1570': {94: 106}, '1588': {94: 106}, '1555': {95: 96}, '1474': {94: 106}, '1504': {94: 106}}"
