,5T,79,1623,,,YRT,1546,132,,,,,737,79,YZF,1590,196
,5T,79,1623,,,YVM,1560,152,,,,,DH3,95,YXP,1572,170
,5T,79,1623,,,YVQ,1563,155,,,,,737 733,79,YEV,1493,54
,5T,79,1623,,,YVQ,1563,155,,,,,737 733,79,YZF,1590,196
,5T,79,1623,,,YXP,1572,170,,,,,DH3,95,YFB,1495,55
,5T,79,1623,,,YXP,1572,170,,,,,DH3,95,YVM,1560,152
,5T,79,1623,,,YYH,1583,183,,,,,DH3,95,YCB,1482,32
,5T,79,1623,,,YYH,1583,183,,,,,DH3,95,YHK,1507,69
,5T,79,1623,,,YZF,1590,196,,,,,DH3 737,95,YCB,1482,32
,5T,79,1623,,,YZF,1590,196,,,,,DH3 737,95,YCO,1485,37
,5T,79,1623,,,YZF,1590,196,,,,,737 733,79,YEG,1491,49
,5T,79,1623,,,YZF,1590,196,,,,,DH3,95,YHK,1507,69
,5T,79,1623,,,YZF,1590,196,,,,,737,79,YRT,1546,132
,5T,79,1623,,,YZF,1590,196,,,,,737 733,79,YVQ,1563,155
,5T,79,1623,,,YZF,1590,196,,,,,DH3,95,YYH,1583,183
,7F,96,2354,,,YAB,1469,8225,,,,,AT4,70,YFB,1495,55
,7F,96,2354,,,YAB,1469,8225,,,,,AT4,70,YRB,1544,128
,7F,96,2354,,,YBK,1478,29,,,,,AT4,70,YRT,1546,132
,7F,96,2354,,,YBK,1478,29,,,,,AT4,70,YUT,1558,147
,7F,96,2354,,,YCB,1482,32,,,,,AT7,72,YCO,1485,37
,7F,96,2354,,,YCB,1482,32,,,,,AT7,72,YHK,1507,69
,7F,96,2354,,,YCB,1482,32,,,,,AT7 737,72,YZF,1590,196
,7F,96,2354,,,YCO,1485,37,,,,,AT7,72,YCB,1482,32
,7F,96,2354,,,YCO,1485,37,,,,,AT7,72,YHI,1506,68
,7F,96,2354,,,YCO,1485,37,,,,,AT7,72,YZF,1590,196
,7F,96,2354,,,YCS,1486,5487,,,,,AT4,70,YRT,1546,132
,7F,96,2354,,,YCS,1486,5487,,,,,AT4,70,YZS,1591,41
,7F,96,2354,,,YCY,1487,40,,,,,AT4,70,YFB,1495,55
,7F,96,2354,,,YCY,1487,40,,,,,AT4,70,YIO,1514,75
,7F,96,2354,,,YEG,1491,49,,,,,737 737,79,YZF,1590,196
,7F,96,2354,,,YEK,1492,50,,,,,AT4,70,YRT,1546,132
,7F,96,2354,,,YEK,1492,50,,,,,AT4,70,YXN,1571,5534
,7F,96,2354,,,YEV,1493,54,,,,,737,79,YVQ,1563,155
,7F,96,2354,,,YFB,1495,55,,,,,AT4,70,YAB,1469,8225
,7F,96,2354,,,YFB,1495,55,,,,,AT4,70,YCY,1487,40
,7F,96,2354,,,YFB,1495,55,,,,,AT4,70,YGT,1500,5495
,7F,96,2354,,,YFB,1495,55,,,,,737,79,YOW,1529,100
,7F,96,2354,,,YFB,1495,55,,,,,737,79,YRT,1546,132
,7F,96,2354,,,YFB,1495,55,,,,,AT4,70,YTE,1552,140
,7F,96,2354,,,YFB,1495,55,,,,,AT4,70,YUX,1559,148
,7F,96,2354,,,YFB,1495,55,,,,,737,79,YVP,1562,154
,7F,96,2354,,,YFB,1495,55,,,,,AT4,70,YXP,1572,170
,7F,96,2354,,,YFS,1498,60,,,,,AT4 AT7,70,YZF,1590,196
,7F,96,2354,,,YGT,1500,5495,,,,,AT4,70,YFB,1495,55
,7F,96,2354,,,YGT,1500,5495,,,,,AT4,70,YUX,1559,148
,7F,96,2354,,,YHI,1506,68,,,,,AT7,72,YCO,1485,37
,7F,96,2354,,,YHK,1507,69,,,,,AT7,72,YCB,1482,32
,7F,96,2354,,,YHK,1507,69,,,,,AT7,72,YYH,1583,183
,7F,96,2354,,,YHY,1511,72,,,,,AT4 AT7,70,YZF,1590,196
,7F,96,2354,,,YIO,1514,75,,,,,AT4,70,YCY,1487,40
,7F,96,2354,,,YOW,1529,100,,,,,737,79,YFB,1495,55
,7F,96,2354,,,YRB,1544,128,,,,,AT4,70,YAB,1469,8225
,7F,96,2354,,,YRT,1546,132,,,,,AT4,70,YBK,1478,29
,7F,96,2354,,,YRT,1546,132,,,,,AT4,70,YCS,1486,5487
,7F,96,2354,,,YRT,1546,132,,,,,AT4,70,YEK,1492,50
,7F,96,2354,,,YRT,1546,132,,,,,737,79,YFB,1495,55
,7F,96,2354,,,YRT,1546,132,,,,,737 AT4,79,YWG,1565,160
,7F,96,2354,,,YRT,1546,132,,,,,AT4,70,YXN,1571,5534
,7F,96,2354,,,YRT,1546,132,,,,,737,79,YZF,1590,196
,7F,96,2354,,,YTE,1552,140,,,,,AT4,70,YFB,1495,55
,7F,96,2354,,,YTE,1552,140,,,,,AT4,70,YZS,1591,41
,7F,96,2354,,,YUL,1557,146,,,,,737,79,YVP,1562,154
,7F,96,2354,,,YUT,1558,147,,,,,AT4,70,YBK,1478,29
